,org_airport,dest_airport,dist
0,ANC,SEA,1448
1,LAX,PBI,2330
2,SFO,CLT,2296
3,LAX,MIA,2342
4,SEA,ANC,1448
5,SFO,MSP,1589
6,LAS,MSP,1299
7,LAX,CLT,2125
8,SFO,DFW,1464
9,LAS,ATL,1747
10,DEN,ATL,1199
11,LAS,MIA,2174
12,LAX,MSP,1535
13,SLC,ATL,1590
14,SEA,MSP,1399
17,SFO,IAH,1635
18,ANC,PDX,1542
19,PDX,MSP,1426
20,LAS,MCI,1139
21,SEA,MIA,2724
22,LAS,DFW,1055
25,LAX,IAH,1379
26,FAI,SEA,1533
27,MSP,FLL,1487
28,LAS,CLT,1916
29,DEN,MIA,1709
30,PHX,ORD,1440
31,PHX,MIA,1972
34,LAS,IAH,1222
35,LAS,HNL,2762
36,ANC,PHX,2552
37,SJU,EWR,1608
39,SJU,JFK,1598
40,PBG,FLL,1334
41,PHX,DFW,868
44,IAG,FLL,1176
46,PHX,CLT,1773
48,PSE,MCO,1179
49,BQN,EWR,1585
50,BQN,MCO,1129
51,SJU,BOS,1674
52,SJU,MCO,1189
55,SJU,BDL,1666
56,ORD,PHX,1440
57,GEG,SEA,224
58,HNL,ITO,216
59,ONT,SFO,363
60,HNL,KOA,163
62,HNL,OGG,100
63,ORD,IAH,925
64,MCO,MIA,192
65,BOS,MYR,738
66,HIB,MSP,174
67,ABR,MSP,257
68,MAF,IAH,429
69,SEA,PHX,1107
70,DFW,MIA,1121
71,BOS,MIA,1258
72,MKE,IAH,984
73,PDX,PHX,1009
74,IAH,MIA,964
75,BNA,DTW,456
76,BRO,IAH,308
77,VPS,ATL,250
78,BOI,SFO,522
79,BJI,MSP,199
80,HNL,LIH,102
81,BNA,ATL,214
82,SGF,DFW,364
83,PHL,IAH,1325
84,PDX,DEN,991
85,SEA,DEN,1024
86,DEN,DFW,641
87,SBN,ORD,84
88,PHL,MCO,861
89,ORD,FLL,1182
90,RDD,SFO,199
91,EUG,DEN,996
92,SFO,DEN,967
93,ORD,DEN,888
94,IAD,IAH,1190
95,BUF,JFK,301
96,PWM,JFK,273
97,JFK,SJU,1598
98,CRP,IAH,201
99,PIA,DTW,346
100,ORD,DTW,235
101,FAT,LAX,209
102,SMF,DEN,909
103,AUS,LAX,1242
104,BOS,BWI,369
105,ORD,BOS,867
106,PHX,DTW,1671
107,MCI,ATL,692
108,BOS,DTW,632
109,ATL,IAD,534
110,JAX,EWR,820
111,MFR,DEN,964
112,SLC,IAH,1195
113,IDA,DEN,458
114,MSN,DEN,826
115,MKE,DTW,237
116,GEG,DEN,836
117,SEA,IAH,1874
118,DCA,IAH,1208
119,SAT,DFW,247
120,JFK,MIA,1089
121,BOS,PBI,1197
122,BOS,JFK,187
123,JFK,BQN,1576
124,DFW,ATL,731
125,CHS,EWR,628
126,MKE,DEN,896
127,MSP,DEN,680
128,CHS,DFW,987
129,DEN,LAX,862
130,SBA,DEN,916
131,SMX,LAX,134
133,BOS,BUF,395
134,PDX,EWR,2434
135,IND,PHX,1488
136,LAX,DEN,862
137,CLE,IAH,1091
138,BOS,EWR,200
139,DEN,PHX,602
140,MCI,PHX,1044
141,AUS,DFW,190
142,LAX,DFW,1235
143,GSP,ATL,153
144,MCO,EWR,937
145,MCI,IAH,643
146,BDL,IAD,326
147,ABI,DFW,158
148,RIC,IAH,1157
149,BFL,DEN,845
150,SAT,SFO,1482
151,OMA,IAH,781
152,RDM,DEN,898
153,FLL,BDL,1173
154,CID,ATL,694
156,MCO,LAX,2218
157,TPA,EWR,997
158,SEA,DFW,1660
159,BOS,DFW,1562
160,SYR,JFK,209
161,ROC,JFK,264
162,TYR,DFW,102
163,MCI,ORD,403
164,LAN,ORD,179
165,BUF,EWR,282
166,XNA,DFW,280
167,GSO,EWR,445
168,ORD,LGA,733
170,EWR,MIA,1085
171,ONT,DEN,819
173,PBI,IAH,956
174,PHX,IAH,1009
175,RSW,IAH,861
176,EWR,MCO,937
177,OMA,ORD,416
178,SMF,PHX,647
179,OAK,PHX,646
180,PVD,CLT,683
181,RNO,DEN,804
182,PIT,IAH,1117
183,DEN,IAH,862
185,LAS,BWI,2106
186,ABQ,HOU,759
187,PHX,SLC,507
188,PIT,FLL,994
189,PVD,BWI,327
190,SFO,ATL,2139
191,SFO,ORD,1846
193,PDX,IAH,1825
194,BOS,ORD,867
195,SFO,LAX,337
196,SAT,LAX,1211
197,BOS,LAX,2611
198,SEA,EWR,2402
199,LAX,ORD,1744
200,IAH,PHX,1009
201,MCO,PHX,1849
202,SFO,PHX,651
203,DFW,MCO,985
204,MIA,PHL,1013
205,SLC,DFW,989
206,DCA,DFW,1192
207,MIA,DFW,1121
208,BWI,MIA,946
209,DFW,LGA,1389
210,LGA,DFW,1389
211,DEN,ORD,888
212,MCI,DFW,460
213,MCO,DFW,985
215,TUL,DFW,237
216,LGA,MIA,1096
217,LIT,DFW,304
218,MIA,LGA,1096
220,PDX,DFW,1616
221,TPA,DFW,929
222,SMF,DFW,1431
223,MSY,MIA,675
225,OMA,DFW,583
226,OKC,DFW,175
228,FAI,ANC,261
229,SEA,SJC,697
230,SEA,OAK,671
231,PDX,SJC,569
232,LAX,SEA,954
233,PHX,SEA,1107
234,DEN,SEA,1024
236,RSW,JFK,1074
237,PBI,JFK,1028
238,JFK,PBI,1028
239,TPA,JFK,1005
240,FLL,LGA,1076
241,OAK,LGB,353
242,LGA,FLL,1076
243,JFK,MCO,944
244,EWR,FLL,1065
245,JFK,TPA,1005
246,PSE,JFK,1617
247,MSY,JFK,1182
248,AUS,JFK,1521
249,BQN,JFK,1576
250,TPA,BOS,1185
251,JAX,JFK,828
252,DCA,BOS,399
253,JFK,ATL,760
254,LGA,DTW,502
255,RNO,SLC,422
257,BOS,MSP,1124
258,LGA,ATL,762
259,ORD,ATL,606
260,ANC,MSP,2519
261,ATW,ATL,765
262,PHX,ATL,1587
263,PNS,ATL,271
264,MCO,SLC,1931
265,ONT,DFW,1188
266,DCA,MIA,919
267,RIC,ATL,481
268,LAX,ATL,1947
269,BOS,ATL,946
270,LAS,DTW,1749
271,OKC,ATL,761
272,MCO,MSP,1310
273,MEM,ATL,332
274,TUL,ATL,674
275,BWI,DTW,409
276,BOS,PHL,280
277,MCO,LGA,950
278,FLL,JFK,1069
280,BOS,DCA,399
281,TYS,DFW,772
282,MHT,ORD,843
283,SAV,EWR,708
284,MEM,EWR,946
285,CLT,ORD,599
286,TYS,IAD,419
287,GRB,ORD,173
288,ABE,DTW,425
289,JAN,ATL,341
290,OAJ,ATL,399
291,FAR,ORD,557
292,JAN,ORD,677
293,ERI,ORD,398
294,ATW,ORD,160
295,LEX,ORD,323
296,CWA,ORD,212
297,MSO,DEN,679
298,ORD,MIA,1197
299,CLE,FLL,1062
300,IAH,SFO,1635
303,TTN,ATL,701
304,ATL,TTN,701
306,MAF,DFW,309
307,AMA,DFW,312
308,CLL,DFW,164
309,HOU,DFW,247
310,DFW,BTR,383
311,JLN,DFW,327
312,CID,DFW,685
313,MLI,DFW,691
314,GSP,DFW,862
315,RDU,JFK,427
316,CVG,MIA,948
317,MHK,DFW,431
318,MOB,DFW,539
319,TLH,DFW,767
320,PNS,MIA,530
321,BHM,MIA,661
322,CVG,DFW,812
323,CAE,DFW,922
324,TXK,DFW,181
325,OAK,LAS,407
326,DFW,OAK,1457
327,ACY,RSW,982
328,DTW,LGA,502
329,DFW,FLL,1119
330,SMF,LAX,373
331,RAP,DEN,300
332,TUS,SFO,751
333,EAU,ORD,268
334,DLH,ORD,397
335,FSD,ORD,462
336,AUS,SFO,1504
337,FAT,SEA,748
338,ONT,PDX,838
339,INL,BRD,153
340,CMX,ORD,359
341,SMF,SFO,86
342,BOI,LAX,674
343,SPI,ORD,174
344,CLD,LAX,86
345,COD,DEN,391
346,FAT,SFO,158
347,CMH,MIA,990
348,LRD,DFW,396
349,PSC,DEN,852
350,CPR,DEN,230
351,ACV,SFO,250
352,DAL,IAH,216
353,PAH,ORD,342
354,PSC,SFO,620
355,CID,ORD,196
356,EUG,SFO,451
357,DFW,DEN,641
358,MRY,SFO,77
359,SLC,LAX,590
360,ESC,DTW,306
361,MFR,SFO,329
362,FAT,DEN,844
363,SFO,EWR,2565
365,EWR,SFO,2565
366,ISN,DEN,576
368,PSP,SFO,421
369,PSP,DEN,776
370,SAT,IAH,191
371,LAX,EWR,2454
372,LAX,SFO,337
373,CLE,IAD,288
374,CAE,IAD,401
375,PHX,DEN,602
376,SMF,IAH,1609
377,JFK,SFO,2586
378,BOS,PHX,2300
379,BOS,CLT,728
380,DTW,MIA,1145
381,FLL,EWR,1065
383,SAT,STL,786
385,CLE,EWR,404
386,DFW,PHX,868
387,MFE,DFW,469
388,STL,DFW,550
389,SJU,MIA,1045
390,MKE,DFW,853
391,SEA,SFO,679
392,SEA,LAS,867
393,BTV,JFK,266
394,JFK,FLL,1069
